Isotope,G4Volume,nsim,nsaved,npass,nenergy
214Bi,DB_PLUG,199920050.0,20.0,6.0,6.0
214Bi,EP_COPPER_PLATE,386100000.0,1468.0,546.0,473.0
214Bi,GATE_RING,6096272.0,241.0,75.0,68.0
214Bi,HDPE_TUBE,3938760.0,175.0,61.0,54.0
214Bi,VESSEL,4314770936.0,656.0,246.0,229.0
214Bi,PEDESTAL,480000000.0,12.0,3.0,3.0
214Bi,SHIELDING_LEAD,6300000000.0,185.0,62.0,56.0
214Bi,ANODE_RING,6127152.0,246.0,70.0,57.0
214Bi,SIPM_BOARD,27535002.0,2283.0,533.0,467.0
214Bi,OPTICAL_PAD,10165771.0,257.0,100.0,84.0
214Bi,PMT,26509875.0,555.0,199.0,177.0
214Bi,SHIELDING_STRUCT,640000000.0,10.0,3.0,3.0
214Bi,SHIELDING_STEEL,110000000.0,5.0,1.0,1.0
214Bi,PMT_BASE,53200000.0,306.0,106.0,93.0
214Bi,CATHODE_RING,5872545.0,282.0,108.0,74.0
214Bi,TP_COPPER_PLATE,308141400.0,1877.0,611.0,518.0
214Bi,ICS,236432040.0,1553.0,501.0,439.0
214Bi,FIELD_RING,40409712.0,2453.0,814.0,655.0
214Bi,LIGHT_TUBE,2517076.0,439.0,218.0,86.0
214Bi,SAPPHIRE_WINDOW,11256512.0,320.0,104.0,90.0
208Tl,DB_PLUG,149000000.0,414.0,88.0,80.0
208Tl,EP_COPPER_PLATE,114861698.0,6917.0,1610.0,1548.0
208Tl,GATE_RING,458738.0,350.0,47.0,39.0
208Tl,HDPE_TUBE,480200.0,430.0,69.0,58.0
208Tl,VESSEL,1113000000.0,3414.0,878.0,830.0
208Tl,PEDESTAL,636699221.0,283.0,78.0,73.0
208Tl,SHIELDING_LEAD,274532482.0,196.0,47.0,43.0
208Tl,ANODE_RING,462527.0,334.0,42.0,35.0
208Tl,SIPM_BOARD,6485948.0,9902.0,1261.0,1116.0
208Tl,OPTICAL_PAD,4036429.0,1789.0,414.0,379.0
208Tl,PMT,14391706.0,4771.0,1106.0,1032.0
208Tl,SHIELDING_STRUCT,893827008.0,175.0,34.0,36.0
208Tl,SHIELDING_STEEL,12000000.0,29.0,8.0,6.0
208Tl,PMT_BASE,67520794.0,5529.0,1227.0,1148.0
208Tl,CATHODE_RING,445147.0,385.0,74.0,61.0
208Tl,TP_COPPER_PLATE,59587692.0,7066.0,1152.0,1067.0
208Tl,ICS,689992200.0,85580.0,17394.0,15844.0
208Tl,FIELD_RING,31419800.0,41167.0,5856.0,5075.0
208Tl,LIGHT_TUBE,10255740.0,19650.0,2628.0,2045.0
208Tl,SAPPHIRE_WINDOW,3633568.0,1664.0,379.0,350.0
0nubb,ACTIVE,15000.0,10876.0,9459.0,8114.0
muons,LAB_WALLS,1400000000.0,50212.0,2788.0,833.0
137Xe,ACTIVE,194800.0,6411.0,4880.0,3560.0
